Default,Age,ActiveLoans,Due90Days,RealEstateLoans,CrLineUtilization
1,45,13,0,6,-0.266442569
0,40,4,0,0,-0.043742923
0,38,2,1,0,-0.418246442
0,30,5,0,0,-1.45328923
0,49,7,0,1,-0.097392346
0,74,3,0,1,-1.545524587
0,57,8,0,3,-1.18515105
0,39,8,0,0,-0.281700001
0,27,2,0,0,-2.145581344
0,57,9,0,4,-1.664950622
0,30,5,0,0,-0.439746042
0,51,7,0,2,-3.973898409
0,46,13,0,2,-4.565949473
1,40,9,3,1,-0.035938107
0,76,6,0,1,-3.927136643
0,64,7,0,1,-0.600567999
0,78,10,0,2,-2.795243413
0,53,7,0,0,-1.793961893
0,43,7,0,1,-1.505979204
0,25,2,0,0,-0.506169812
0,43,10,0,2,-1.604948007
1,38,7,0,1,-3.661264287
0,39,4,0,0,0
0,32,6,0,0,-2.584948004
0,58,9,0,1,-3.066154738
1,50,14,0,3,-0.935983365
0,58,22,0,1,-2.948848688
0,69,17,0,0,-3.369698715
0,24,1,0,0,-0.792967516
0,58,15,0,1,-0.933945667
0,28,8,0,0,-0.350834887
0,24,1,0,0,0
0,62,6,0,1,-2.48410697
0,57,9,0,2,-1.677181565
0,42,7,0,0,-0.366292473
0,64,9,0,1,-1.969432312
0,50,9,0,1,-0.125790006
0,75,1,0,1,0
0,26,1,0,0,-1.011700917
0,52,10,0,2,-1.189084192
0,41,14,0,1,-0.328504067
0,81,7,0,0,-2.61866664
0,31,4,0,0,-0.756939314
0,28,4,0,0,-0.330311255
0,68,31,0,1,-0.997229674
0,70,12,0,1,-7.418580903
0,62,2,0,0,-2.790345444
0,31,4,0,2,-1.965398826
0,38,13,0,2,-0.181521877
0,70,21,1,1,-9.210340372
0,73,9,0,1,-0.199671195
1,31,10,0,2,-0.317179543
0,62,1,0,0,0
0,51,5,0,1,-3.554348561
0,29,1,0,0,-0.008032172
0,55,4,0,1,-2.646484845
0,46,10,0,0,-0.78745786
0,64,4,0,1,-0.913295223
0,43,3,0,1,-0.614151174
0,35,10,0,0,-0.422204432
0,58,11,0,1,-0.428324402
0,69,3,0,0,-3.597212266
0,72,12,0,2,-2.290656522
0,46,6,0,2,-4.625372893
0,60,10,0,2,-1.086189769
0,67,2,0,1,-1.969432312
0,55,17,0,1,-0.286482792
0,27,3,0,0,-4.990832667
0,31,6,1,0,-5.449140256
0,64,13,0,1,-1.311186889
0,36,6,0,2,-1.324634981
0,67,7,0,2,-1.951928221
0,56,15,1,1,-0.189104509
0,31,11,0,2,-2.818423259
1,49,9,0,2,-2.016654554
0,36,19,0,0,-1.451579828
0,29,5,0,1,-2.101278236
0,37,6,0,0,-0.775659602
0,69,14,0,2,-1.091835304
0,41,11,0,2,-1.307483181
0,52,14,0,2,-1.696631124
0,66,3,0,1,-2.591601388
0,53,13,0,1,-4.057048777
0,56,18,0,2,-2.909554577
0,31,10,0,1,-3.53358657
0,58,9,0,1,-1.969432312
0,58,8,0,2,-1.020263322
0,64,5,0,0,-5.599422459
1,45,13,0,2,-0.308565283
0,60,15,0,2,-2.518256629
0,51,7,0,0,-3.233989463
0,83,13,0,0,-3.738069698
0,52,10,0,2,-0.242326371
0,34,4,0,0,-0.117883041
0,44,5,0,1,-0.234204499
0,37,11,1,1,-1.404865747
0,48,2,0,0,-0.612120342
0,57,6,0,1,-4.556380022
0,32,4,0,1,-1.012801632
0,75,4,0,0,-3.423442991
0,61,4,0,0,-4.342805922
0,34,9,0,1,-3.942482213
0,52,2,0,0,-0.454917992
0,44,8,0,0,-0.118783536
0,57,7,0,1,-5.776353167
0,46,6,0,0,-2.164563795
0,80,5,0,0,-3.968593357
0,32,4,0,1,-0.453500557
0,62,8,0,3,0
0,61,11,0,4,-3.186892779
0,47,2,0,0,-2.336141877
0,58,26,0,4,-1.144446825
0,52,4,0,0,-1.676646662
0,68,10,0,2,-5.035953102
0,39,7,0,1,-1.709258248
0,74,4,0,0,-4.892852258
0,46,6,0,2,-2.689719244
0,44,5,0,2,-3.39620984
0,68,4,0,0,-4.892852258
0,68,6,0,0,-4.179902451
0,31,3,0,0,-0.659519
0,34,11,0,2,-1.145703896
0,67,13,0,0,-1.212004976
0,58,9,0,2,-0.810130536
0,39,9,0,2,-1.280134165
0,58,5,0,1,-5.599422459
0,61,14,0,1,-1.969432312
0,59,13,0,2,-1.969432312
0,36,22,0,2,-1.884532869
0,59,12,0,1,-1.969432312
0,43,4,0,1,-1.738977284
0,77,1,0,0,-4.465408244
0,48,7,0,2,-1.969432312
0,81,7,0,0,-1.814005078
0,51,5,0,0,-3.051244983
0,53,8,0,1,-2.478129666
0,56,11,0,1,-2.413516654
0,63,12,0,1,-0.256829609
0,55,6,0,2,-2.364460497
0,54,20,0,2,-1.515947569
0,55,5,0,1,-1.910543005
0,72,11,0,1,-0.550779939
0,53,22,0,2,-1.410996974
0,27,4,0,0,-1.014730805
0,31,7,0,1,-2.14814874
0,38,7,0,1,0
0,40,11,0,2,-0.69936648
0,48,17,0,1,-2.033321606
0,50,9,0,2,-0.603306477
0,34,2,0,0,-2.62693115
0,48,14,0,1,-1.969432312
0,57,9,0,1,-1.737839627
0,30,4,0,1,-2.979858924
0,28,7,0,0,-1.969432312
0,36,10,0,2,-1.546932707
0,60,20,0,2,-4.366153286
0,58,23,0,2,-2.107018309
0,49,11,0,1,-3.199073198
0,40,6,0,0,-1.912572089
0,63,4,0,0,-1.969432312
